运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.9847343702269e-06,1.5054592368852885e-08,2.4743030490607627e-11,2.9847343702269e-06,N/A,N/A,2.491174634936215e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.3051581045379737e-06,1.5117922071215643e-08,2.4717538974922153e-11,3.3051581045379737e-06,N/A,N/A,2.296232048538034e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.024261699163476e-06,1.4785748858031481e-08,2.461751227314447e-11,3.024261699163476e-06,N/A,N/A,2.4208306616407316e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.4882804585571454e-06,1.7749422186823894e-08,2.4741122554214492e-11,3.4882804585571454e-06,N/A,N/A,2.4583716970011994e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.4905511509409906e-06,1.5443247270720793e-08,2.473698153481018e-11,3.4905511509409906e-06,N/A,N/A,2.1379469118087895e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.881787663227028e-06,1.6378264959361686e-08,2.4676333005671857e-11,2.881787663227028e-06,N/A,N/A,2.0894738675663595e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.2766479901028733e-06,1.3358539768985005e-08,2.4723979158929147e-11,3.2766479901028733e-06,N/A,N/A,2.1706361036195638e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.0048543280208905e-06,1.4365668297782689e-08,2.469554718734897e-11,3.0048543280208905e-06,N/A,N/A,2.454257677345666e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.837164331735491e-06,1.700190557933542e-08,2.4720008134068514e-11,3.837164331735491e-06,N/A,N/A,2.701061978275437e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.081952447724115e-06,1.5106420141334294e-08,2.4748622524013597e-11,2.081952447724115e-06,N/A,N/A,1.4436884143350479e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,4.1319188222715885e-06,1.7025703338258125e-08,2.4771139597386207e-11,4.1319188222715885e-06,N/A,N/A,2.235881161780699e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.5816035587720358e-06,1.5932745224311916e-08,2.4741115177423408e-11,2.5816035587720358e-06,N/A,N/A,1.5847333791204596e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.3778878877976082e-06,1.5750443241381346e-08,2.4720212317543434e-11,3.3778878877976082e-06,N/A,N/A,2.1038042775912943e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.001519692584206e-06,1.3816504814946834e-08,2.473643985901907e-11,2.001519692584206e-06,N/A,N/A,1.4905724760638698e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.5147362147045987e-06,1.5967611466163596e-08,2.4653679055613867e-11,3.5147362147045987e-06,N/A,N/A,2.4234759878169402e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.141416129433641e-06,1.7167383033184604e-08,2.4823560579469075e-11,2.141416129433641e-06,N/A,N/A,1.500095780497708e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.322536419184741e-06,1.7210078276641753e-08,2.4783640500760278e-11,3.322536419184741e-06,N/A,N/A,2.7146901647401568e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.47198389497414e-06,1.5264692259449493e-08,2.4758602113646614e-11,2.47198389497414e-06,N/A,N/A,1.7305625803204814e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.6895572363483826e-06,1.540190925575221e-08,2.4718175046172132e-11,3.6895572363483826e-06,N/A,N/A,2.905070460545919e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.0779019744721254e-06,1.569822985036766e-08,2.4741730672750245e-11,2.0779019744721254e-06,N/A,N/A,1.7431314157287136e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.4809181588852286e-06,1.5187583167510757e-08,2.4795722083598808e-11,3.4809181588852286e-06,N/A,N/A,2.6459574721652148e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.523960569192841e-06,1.710249150993845e-08,2.4742192333388088e-11,2.523960569192841e-06,N/A,N/A,1.905865320283126e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.713707983277612e-06,1.6111793362810095e-08,2.4728820123184744e-11,3.713707983277612e-06,N/A,N/A,2.8628056657260332e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.3790947517298255e-06,1.4698499239721124e-08,2.4642734279146748e-11,2.3790947517298255e-06,N/A,N/A,1.6303818562557536e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.4899817486001422e-06,1.5187769013335977e-08,2.4678118156583653e-11,3.4899817486001422e-06,N/A,N/A,2.609737030663011e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.1710959806827675e-06,1.8501082063827553e-08,2.467469499569015e-11,2.1710959806827675e-06,N/A,N/A,1.4213804703790833e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.5003632654826144e-06,1.3890673119775892e-08,2.4697024101646665e-11,3.5003632654826144e-06,N/A,N/A,2.640678447428684e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.3838701666099626e-06,1.426697529577646e-08,2.4775464742986e-11,2.3838701666099626e-06,N/A,N/A,1.9483389759007597e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.97464424071799e-06,1.543819114071339e-08,2.4706809005244216e-11,3.97464424071799e-06,N/A,N/A,2.8355467184757672e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.5717456825452662e-06,1.4441559564279697e-08,2.476134762560438e-11,2.5717456825452662e-06,N/A,N/A,1.8122251303096893e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.643182849133348e-06,1.742000980122719e-08,2.473552832169308e-11,3.643182849133348e-06,N/A,N/A,2.6899758654848952e-05,0.0
