运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-192828-real-d3200-outer-partial_A-ratio1-full,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.1357145818564316e-06,1.5079836937590286e-08,1.2482679805275058e-11,2.1357145818564316e-06,N/A,N/A,2.2471068301441308e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.342482965235485e-06,1.5987489749617564e-08,1.2406394622409363e-11,2.342482965235485e-06,N/A,N/A,2.192452718683685e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.1595593248009284e-06,1.579722294013479e-08,1.238567312617081e-11,2.1595593248009284e-06,N/A,N/A,2.3385500560220366e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.4741694395525325e-06,1.7731207050471383e-08,1.2383911779667613e-11,2.4741694395525325e-06,N/A,N/A,2.7246162755911165e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.4873313896249842e-06,1.73958373809091e-08,1.2433185206896049e-11,2.4873313896249842e-06,N/A,N/A,2.4924758351154995e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.0583112968599516e-06,1.7463005499693317e-08,1.2453341209985918e-11,2.0583112968599516e-06,N/A,N/A,2.0339433977188983e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.329900307099345e-06,1.6193054091245303e-08,1.2417179578515692e-11,2.329900307099345e-06,N/A,N/A,2.3141377145352736e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.14779740210969e-06,1.3434935793755359e-08,1.2455766705195145e-11,2.14779740210969e-06,N/A,N/A,2.5326702861569098e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.737165794442448e-06,1.3784090647391803e-08,1.242080424617226e-11,2.737165794442448e-06,N/A,N/A,2.9352763431546028e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.4781920656490424e-06,1.4951060344649016e-08,1.2435813288926798e-11,1.4781920656490424e-06,N/A,N/A,1.5046960511215269e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.9237072185225895e-06,1.6799199331731716e-08,1.2404366543456469e-11,2.9237072185225895e-06,N/A,N/A,2.9012240619205153e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.8453731365937634e-06,1.4649449505323712e-08,1.2448022771128874e-11,1.8453731365937634e-06,N/A,N/A,1.7770782547146848e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.4061316379278026e-06,1.5973226489051842e-08,1.2426799114369644e-11,2.4061316379278026e-06,N/A,N/A,2.354119861622916e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.4300679283236883e-06,1.5789067109577438e-08,1.246772664144032e-11,1.4300679283236883e-06,N/A,N/A,1.49136329621922e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.4986877786583164e-06,1.4614510760084325e-08,1.2398583792138232e-11,2.4986877786583164e-06,N/A,N/A,2.6103740773406785e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.5186340368090212e-06,1.8923297521559752e-08,1.2452156482815684e-11,1.5186340368090212e-06,N/A,N/A,1.364065658830543e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.3634885662365074e-06,1.5926402041354672e-08,1.2441292428611813e-11,2.3634885662365074e-06,N/A,N/A,2.439328338537019e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.757372933161988e-06,1.4950021958972303e-08,1.244343622347549e-11,1.757372933161988e-06,N/A,N/A,1.7966968946765258e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.6139472437086308e-06,1.6116215541036997e-08,1.2393042188707827e-11,2.6139472437086308e-06,N/A,N/A,2.8326734890804497e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.4771150615115337e-06,1.4508964912997692e-08,1.2380584840175135e-11,1.4771150615115337e-06,N/A,N/A,1.7967910967833857e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.456534688012527e-06,1.6419159231237563e-08,1.2378905434755393e-11,2.456534688012527e-06,N/A,N/A,2.5239459065933538e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.7929549836174928e-06,1.6067893456638894e-08,1.2435628611692778e-11,1.7929549836174928e-06,N/A,N/A,2.205750541414755e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.639253230599344e-06,1.589745287907345e-08,1.2415607773859658e-11,2.639253230599344e-06,N/A,N/A,2.8875332834352314e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.6998312478630276e-06,1.5240359129481534e-08,1.2418282619668036e-11,1.6998312478630276e-06,N/A,N/A,1.5797180830192472e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.483642938472079e-06,1.3803215763663829e-08,1.2365449024400036e-11,2.483642938472079e-06,N/A,N/A,2.5491663807559366e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.5527245435016078e-06,1.723065250899082e-08,1.2464414295961003e-11,1.5527245435016078e-06,N/A,N/A,1.398496047242493e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.492456022685034e-06,1.5808746394851275e-08,1.2437182799827058e-11,2.492456022685034e-06,N/A,N/A,2.4730709760522665e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.6866411462142113e-06,1.97409562961743e-08,1.2402049234017677e-11,1.6866411462142113e-06,N/A,N/A,1.9845918214437143e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.8258795197161094e-06,1.357162819036659e-08,1.2449137814258184e-11,2.8258795197161094e-06,N/A,N/A,2.7264847553698308e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.8177685843477356e-06,1.575282593534481e-08,1.2383331079136426e-11,1.8177685843477356e-06,N/A,N/A,1.848082780529223e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.586675430258807e-06,1.6303994498174847e-08,1.2397736720592548e-11,2.586675430258807e-06,N/A,N/A,2.4758387915537737e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.931653562694673e-06,1.3404818471551773e-08,1.2413210109357074e-11,1.931653562694673e-06,N/A,N/A,1.9986850780448e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.2404848781145667e-06,1.4444130649124561e-08,1.2489201668852737e-11,2.2404848781145667e-06,N/A,N/A,2.125969316246493e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,1.8734296197241754e-06,1.563863748315583e-08,1.240511905397444e-11,1.8734296197241754e-06,N/A,N/A,1.5876740174791845e-05,0.0
